,Time,Headline,Sentiment,Confidence,Negative_Probability,Neutral_Probability,Positive_Probability,Predicted_Class
58,2025-08-07,Trump signs order opening way for alternative assets in 401(k)s,Positive,0.9799,0.0026,0.0176,0.9799,2
59,2025-08-07,Chime Beats Estimates in Inaugural Earnings as Public Company,Positive,0.5694,0.0066,0.424,0.5694,2
60,2025-08-07,Monster Shares Jump After Second-Quarter Sales Beat Expectations,Positive,0.9847,0.0052,0.01,0.9847,2
61,2025-08-07,Trump Taps Stephen Miran as New Federal Reserve Governor,Positive,0.8595,0.006,0.1345,0.8595,2
62,2025-08-07,Nextdoor Cuts 12% of Workforce in Quest for Profitability,Negative,0.8188,0.8188,0.0804,0.1008,0
63,2025-08-07,Trump nominates Stephen Miran to Federal Reserve Board,Positive,0.7879,0.0156,0.1965,0.7879,2
64,2025-08-07,Intel falls after Trump calls for its CEO to 'resign immediately',Negative,0.842,0.842,0.0993,0.0587,0
65,2025-08-07,Some safe-haven assets have soared against the U.S. dollar.,Positive,0.8325,0.1116,0.056,0.8325,2
66,2025-08-07,Trump signs order to open 401(k)s to private markets: What it means for your retirement,Positive,0.9281,0.0043,0.0675,0.9281,2
67,2025-08-07,Miran tapped by Trump for Fed governor — but it’s just temporary. Here's why.,Neutral,0.9368,0.0177,0.9368,0.0455,1
68,2025-08-07,Trump names replacement for Fed seat; still looking for permanent appointee,Neutral,0.5056,0.0403,0.5056,0.4541,1
69,2025-08-07,‘We stand ready’: State finance chiefs join Trump to end 'debanking',Positive,0.9648,0.0075,0.0277,0.9648,2
70,2025-08-07,Rep. Chip Roy calls congressional stock trading a ‘clear conflict of interest’,Neutral,0.4927,0.4918,0.4927,0.0155,1
71,2025-08-07,"Dow slides, Nasdaq hits record as tariffs kick in",Positive,0.8802,0.1026,0.0171,0.8802,2
72,2025-08-07,Stocks Halt Rally as Weak Bond Sale Lifts Yields: Markets Wrap,Positive,0.7101,0.2709,0.019,0.7101,2
73,2025-08-07,"Dow, S&P 500 end lower; Eli Lilly shares fall after drug data",Negative,0.86,0.86,0.0491,0.0909,0
74,2025-08-07,"Dow, S&P 500 end lower, Nasdaq ekes out record close as new tariffs take effect",Negative,0.722,0.722,0.0312,0.2468,0
75,2025-08-07,"Trump to nominate Stephen Miran to be new Fed governor, replacing Kugler",Neutral,0.7818,0.0194,0.7818,0.1988,1
76,2025-08-07,California Supreme Court Requires New Review of Rooftop Solar Policy,Neutral,0.8001,0.0352,0.8001,0.1647,1
77,2025-08-07,Is the economy as good as Wall Street says? How markets and the data differ.,Neutral,0.8655,0.0226,0.8655,0.1119,1
78,2025-08-07,Trump Signs Executive Order Clamping Down on ‘Debanking’,Negative,0.666,0.666,0.2215,0.1124,0
79,2025-08-07,Charles Payne: Both sides of the aisle are getting rich from stock trading,Positive,0.9822,0.0054,0.0125,0.9822,2
80,2025-08-07,"Wall Street dips with Intel, investors consider Trump's preferred Fed chair report",Negative,0.8381,0.8381,0.0386,0.1233,0
81,2025-08-07,Trump is eyeing a big 401(k) rule change. Experts advise caution.,Neutral,0.7415,0.1782,0.7415,0.0802,1
82,2025-08-07,"Dow slides, stocks waver as sweeping tariffs kick in",Negative,0.7401,0.7401,0.0287,0.2313,0
83,2025-08-07,Hailing a Ride Share? Here’s What To Know To Stay Safe.,Neutral,0.8928,0.0093,0.8928,0.0979,1
84,2025-08-07,Dow down nearly 300 points as stocks head for losses in final hour — follow live,Negative,0.8474,0.8474,0.0621,0.0906,0
85,2025-08-07,Mexico’s Central Bank Taps Brakes on Interest Rates With Quarter-Point Cut,Negative,0.7906,0.7906,0.1368,0.0726,0
86,2025-08-07,Trump cynics would 'go to the matresses' to protect the status quo: Charles Payne,Positive,0.8416,0.0688,0.0896,0.8416,2
87,2025-08-07,US Farm Trade Deficit Hits Record as Historic Shift Deepens,Positive,0.9132,0.0745,0.0122,0.9132,2
88,2025-08-07,Trump is 'laying the groundwork' for US' revival long after her leaves office: Dagen McDowell,Positive,0.9574,0.0036,0.039,0.9574,2
89,2025-08-07,Swiss Businesses Fear Being ‘Annihilated’ by One of the World’s Highest Tariffs,Negative,0.5565,0.5565,0.3104,0.1331,0
90,2025-08-07,"Trump calls for Intel boss to resign immediately, alleging China ties",Negative,0.7862,0.7862,0.1857,0.0281,0
91,2025-08-07,What Trump's tariffs mean for you — and which countries and sectors are next,Neutral,0.9394,0.0136,0.9394,0.047,1
92,2025-08-07,Apollo Boosts SoftBank Loan to a Record-Breaking $5.4 Billion,Positive,0.988,0.0029,0.0091,0.988,2
93,2025-08-08 02:00AM,Italy Rediscovers National Identity In Fight With EU Court,Positive,0.925,0.0607,0.0143,0.925,2
94,2025-08-07,Funding Crisis Fears Grow After Gold Market 'Disrupted' On Report Of US Tariffs On Swiss Bullion,Negative,0.854,0.854,0.0538,0.0922,0
95,2025-08-07,How To Make America Great Again,Positive,0.9324,0.0068,0.0607,0.9324,2
96,2025-08-07,Iran Executes Man Accused Of Spying For Mossad Amid Surge In Hangings,Negative,0.7254,0.7254,0.0378,0.2368,0
97,2025-08-07,Peter Thiel-Backed Startup Aims To Revolutionize American Uranium Production,Positive,0.9215,0.0039,0.0745,0.9215,2
98,2025-08-07,Loading…,Neutral,0.9486,0.0188,0.9486,0.0326,1
99,2025-08-07,Chinese Nationals Charged For Allegedly Exporting Microchips To China Without License,Negative,0.612,0.612,0.345,0.043,0
100,2025-08-07,"Meet The Kansas ""Ghost Towns"" Where Houses Cost Less Than Half The Price Of A Tesla",Positive,0.467,0.3408,0.1922,0.467,2
101,2025-08-07,Why The Pesticide Liability Protection Act Threatens Our Food Supply & The Health Of A Nation,Negative,0.6642,0.6642,0.2698,0.0661,0
102,2025-08-07,China Seizes Opportunity To Praise 'Beloved Brazilian Coffee' While Blasting Trump's 'Bullying' Tariffs,Positive,0.9359,0.045,0.0191,0.9359,2
103,2025-08-07,This 'First Look' At Kamala Harris' Book Is Priceless,Positive,0.5251,0.014,0.4609,0.5251,2
104,2025-08-07,Stumbling Superpower Syndrome,Negative,0.7018,0.7018,0.079,0.2191,0
105,2025-08-07,"Realtor.com Reports Most Active ""For Sale"" Inventory since November 2019",Neutral,0.9663,0.0043,0.9663,0.0294,1
106,2025-08-07,"AMD: Record-Breaking Q2, But Don't Buy Until $156",Positive,0.7497,0.2237,0.0266,0.7497,2
107,2025-08-07,Waymo Faces Growing Opposition from Left-Wing Luddite Activists,Negative,0.8393,0.8393,0.074,0.0868,0
108,2025-08-07,This Market Is Clueless: Why I'm Still All In On Texas Pacific,Negative,0.4689,0.4689,0.1252,0.4059,0
109,2025-08-07,Loading…,Neutral,0.9486,0.0188,0.9486,0.0326,1
110,2025-08-07,New Trends With Friends Episode: From the Death of 60/40 to Bitcoin Treasuries: Rethinking Portfolios for the Degenerate Economy with Jeff Park of ProCap,Positive,0.9508,0.007,0.0422,0.9508,2
111,2025-08-07,"Continued Unemployment Claims Jump by 38,000 to New High Since Nov 6, 2021",Positive,0.6248,0.3198,0.0555,0.6248,2
112,2025-08-07,Cloudflare: Policing The Internet,Neutral,0.9289,0.0064,0.9289,0.0648,1
113,2025-08-07,Thursday links: faux participation,Positive,0.5047,0.1087,0.3867,0.5047,2
114,2025-08-07,The contradictory signs from initial and continuing jobless claims: what do they mean?,Neutral,0.6675,0.2899,0.6675,0.0425,1
115,2025-08-07,Trump: Enemies Foreign and Domestic,Negative,0.5687,0.5687,0.2726,0.1588,0
116,2025-08-07,Hotels: Occupancy Rate Decreased 0.1% Year-over-year; Weak Summer,Negative,0.6751,0.6751,0.3058,0.0191,0
117,2025-08-07,Longform links: environmental contagion,Neutral,0.8309,0.0389,0.8309,0.1302,1
118,2025-08-07,JPMorgan: Set To Win Big From Goldman's Apple Card Divestiture,Positive,0.9879,0.005,0.0071,0.9879,2
119,2025-08-07,Wholesale Used Car Prices Decreased in July; Up 3% Year-over-year,Negative,0.6425,0.6425,0.3265,0.031,0
120,2025-08-07,"Weekly Initial Unemployment Claims Increase to 226,000",Positive,0.9732,0.013,0.0138,0.9732,2
121,2025-08-07,10 Often-Overlooked Insights,Neutral,0.5841,0.013,0.5841,0.4029,1
122,2025-08-07,Will Next Week’s Consumer Inflation Report Highlight Tariff Risk?,Neutral,0.8443,0.0181,0.8443,0.1376,1
123,2025-08-07,Insurer Financial Performance in 2023,Positive,0.9119,0.0086,0.0795,0.9119,2
124,2025-08-07,2026 Healthcare Insurance Rate Changes – North Carolina,Positive,0.7629,0.07,0.1671,0.7629,2
125,2025-08-07,Loading…,Neutral,0.9486,0.0188,0.9486,0.0326,1
126,2025-08-07,Best Practices for Building Your Trading Business,Positive,0.64,0.0069,0.3531,0.64,2
127,2025-08-07,The private sector solution to health insurance,Neutral,0.9553,0.0058,0.9553,0.0389,1
128,2025-08-07,Macro Briefing: 7 August 2025,Neutral,0.9377,0.0059,0.9377,0.0564,1
129,2025-08-07,Broadcom: How AI Transformed Its Semicon Business,Positive,0.896,0.0057,0.0983,0.896,2
130,2025-08-07,Insiders Sell The July Rally,Negative,0.7547,0.7547,0.0453,0.1999,0
131,2025-08-07,Lyft: Buy The Dip As The Company Concentrates On Market Share Recovery,Positive,0.9835,0.0027,0.0138,0.9835,2
132,2025-08-06,How Much Will Trump’s Auto Tariffs Drive Up Car Prices?,Positive,0.4656,0.2535,0.2809,0.4656,2
133,2025-08-06,Thursday: Unemployment Claims,Negative,0.8143,0.8143,0.0509,0.1349,0
134,2025-08-06,Gen Z: Nationalists vs. Communists,Positive,0.6032,0.2769,0.1199,0.6032,2
135,2025-08-06,"Trump Tells India – Only Buy What I Approve, Else 50 Percent Tariffs",Neutral,0.4908,0.0901,0.4908,0.4191,1
136,2025-08-06,Wednesday links: a recipe for disappointment,Negative,0.6907,0.6907,0.0372,0.2721,0
137,2025-08-06,Recession Watch Metrics,Neutral,0.7716,0.0445,0.7716,0.1839,1
138,2025-08-06,Some good news,Positive,0.9045,0.0085,0.087,0.9045,2
139,2025-08-06,Paradigm Shifts and the Winner's Curse,Negative,0.5558,0.5558,0.0609,0.3833,0
140,2025-08-06,At The Money: What Is Money?,Neutral,0.9403,0.0222,0.9403,0.0375,1
141,2025-08-06,Dismal scenes from the July employment report,Negative,0.8004,0.8004,0.0317,0.1679,0
142,2025-08-06,Is Palantir The Ultimate Meme Stock Now?,Neutral,0.9259,0.0061,0.9259,0.068,1
143,2025-08-06,Stock Picks From Seeking Alpha's July 2025 New Analysts,Positive,0.6953,0.0092,0.2955,0.6953,2
144,2025-08-06,Asking Rents Mostly Unchanged Year-over-year,Positive,0.9308,0.0109,0.0583,0.9308,2
145,2025-08-06,Lantheus Holdings: Reassessing The Buy Thesis,Positive,0.959,0.0048,0.0361,0.959,2
146,2025-08-06,Personal finance links: moving the goalposts,Neutral,0.7736,0.0176,0.7736,0.2088,1
147,2025-08-06,Burns Home Value Index Shows Price Declines in 35 Percent of the US,Negative,0.7194,0.7194,0.2461,0.0345,0
148,2025-08-06,Will Incoming Inflation Data Derail Outlook For Interest Rate Cut?,Negative,0.7616,0.7616,0.213,0.0254,0
149,2025-08-06,Sixteen Million Without Healthcare Insurance,Neutral,0.8463,0.129,0.8463,0.0247,1
150,2025-08-06,MBA: Mortgage Applications Increase in Latest Weekly Survey,Positive,0.9804,0.0043,0.0153,0.9804,2
151,2025-08-06,Why Plastics Recycling May Not Work,Neutral,0.4685,0.4405,0.4685,0.091,1
152,2025-08-06,Macro Briefing: 6 August 2025,Neutral,0.9385,0.006,0.9385,0.0555,1
153,2025-08-06,Killing us softly,Neutral,0.397,0.236,0.397,0.367,1
154,2025-08-06,The Low Beta Boom: Sidestepping The Dotcom Bust,Positive,0.9704,0.0198,0.0098,0.9704,2
155,2025-08-06,Utilities And Industrials Carry The Market,Neutral,0.9853,0.005,0.9853,0.0097,1
156,2025-08-05,Wednesday: MBA Mortgage Applications,Neutral,0.862,0.0245,0.862,0.1135,1
157,2025-08-05,"BLS Chief New Job Requirement, Be a Trump Loyalist, the Pay Is $195,000",Neutral,0.9207,0.0051,0.9207,0.0742,1
158,2025-08-05,Breaking China’s Rare Earth Dominance,Positive,0.9713,0.008,0.0207,0.9713,2
159,2025-08-05,"Troubling Trends in Student Loans, Auto Loans, and Credit Card Late Payments",Negative,0.833,0.833,0.115,0.052,0
160,2025-08-05,Cotality: House Prices Increased 1.7% YoY in June; Weakest June since 2008,Negative,0.6894,0.6894,0.0806,0.23,0
161,2025-08-05,I Love SWAG Golf...A Winner As The Degenerate Economy Accelerates,Positive,0.981,0.0034,0.0156,0.981,2
162,2025-08-05,"ISM Services Prices Increase 98 Straight Months, Highest Since Oct 2022",Positive,0.9875,0.0032,0.0094,0.9875,2
163,2025-08-05,Tuesday links: a game of regulatory arbitrage,Neutral,0.8623,0.0227,0.8623,0.115,1
164,2025-08-05,“Recession watch” for the economy as a whole,Positive,0.6794,0.1726,0.148,0.6794,2
165,2025-08-05,Research links: nobody reads the footnotes,Neutral,0.9731,0.0205,0.9731,0.0063,1
166,2025-08-05,Trump’s EPA to Make CO2 Great Again,Positive,0.9862,0.0034,0.0104,0.9862,2
167,2025-08-05,GLP-1 War: A Look At The Epic Pipeline Battle Between Novo Nordisk And Eli Lilly,Neutral,0.7545,0.0234,0.7545,0.2222,1
168,2025-08-05,"Recession Talk Is Back, But Confirming Data Still Missing",Negative,0.4359,0.4359,0.416,0.1481,0
169,2025-08-05,Macro Briefing: 5 August 2025,Neutral,0.938,0.0059,0.938,0.0561,1
170,2025-08-05,Palantir Thrives On Trump Presidency,Positive,0.9827,0.0026,0.0147,0.9827,2
171,2025-08-04,"Value Added Taxes Are Not Tariffs, Nor Do VATs Act Like Tariffs",Neutral,0.9833,0.0076,0.9833,0.0091,1
172,2025-08-04,Silver: The Closer Metal,Positive,0.5041,0.0219,0.4739,0.5041,2
173,2025-08-04,"Trump Increases Tariffs on India, Demands India Stop Buying Russian Oil",Positive,0.7838,0.1767,0.0395,0.7838,2
174,2025-08-04,"Monday links: climate, health, and the economy",Neutral,0.9535,0.0076,0.9535,0.0389,1
175,2025-08-04,Momentum Monday - Hello Volatility?,Positive,0.9288,0.0084,0.0628,0.9288,2
176,2025-08-04,Adviser links: a planning process,Neutral,0.9803,0.0048,0.9803,0.0149,1
177,2025-08-04,"Transcript: Erik Hirsch, Hamilton Lane",Neutral,0.9298,0.0072,0.9298,0.063,1
178,2025-08-04,Bonds Rally On Weak Payrolls Data,Negative,0.7025,0.7025,0.034,0.2635,0
179,2025-08-04,Macro Briefing: 4 August 2025,Neutral,0.9348,0.0061,0.9348,0.0591,1
180,2025-08-04,10 Monday AM Reads,Neutral,0.9067,0.0303,0.9067,0.063,1
181,2025-08-04,Bull Streak Ends As August Begins,Negative,0.6501,0.6501,0.0861,0.2638,0
182,2025-08-04,Does Trump Have A Valid Point About Rate Cuts?,Neutral,0.8053,0.1082,0.8053,0.0865,1
183,2025-08-03,Sunday links: a riskier market,Positive,0.4936,0.0178,0.4886,0.4936,2
184,2025-08-03,Seeing Your Products/Companies Success In The Wild...The Best Thing About Being A Seed Investor,Positive,0.8659,0.0063,0.1278,0.8659,2
185,2025-08-03,Top clicks this week on Abnormal Returns,Negative,0.7701,0.7701,0.043,0.1868,0
